prefix,country
YA,afghanistan
ZA,albania
7T,algeria
C3,andorra
D2,angola
VP-A,anguilla
V2,antigua_and_barbuda
LV,argentina
LQ,argentina
EK,armenia
P4,aruba
VH,australia
OE,austria
3K,azerbaijan
C6,bahamas
A9C,bahrain
S2,bangladesh
8P,barbados
EW,belarus
OO,belgium
V3,belize
TY,benin
VP-B,bermuda
A5,bhutan
CP,bolivia
E7,bosnia
A2,botswana
PP,brazil
PR,brazil
PS,brazil
PT,brazil
PU,brazil
V8,brunei
LZ,bulgaria
XT,burkina_faso
9U,burundi
XU,cambodia
TJ,cameroun
C,canada
D4,cape_verde
VP-C,cayman_isles
TL,central_african_republic
TT,chad
CC,chile
B,china
B-M,china_macau
HJ,colombia
HK,colombia
D6,comoros
9Q,congoroc
E5,cook_islands
TI,costa_rica
TU,cote_d'ivoire
9A,croatia
CU,cuba
5B,cyprus
OK,czech_republic
OY,denmark
J2,djibouti
J7,dominica
HI,dominican_republic
HC,ecuador
SU,egypt
YS,el_salvador
3C,equatorial_guinea
E3,eritrea
ES,estonia
ET,ethiopia
VP-F,falkland_isles
DQ,fiji
OH,finland
F,france
TR,gabon
C5,gambia
4L,georgia
D,germany
9G,ghana
VP-G,gibraltar
SX,greece
J3,grenada
TG,guatemala
2,guernsey
3X,guinea
J5,guinea-bissau
8R,guyana
HH,haiti
HR,honduras
B-H,hong_kong
B-K,hong_kong
B-L,hong_kong
HA,hungary
TF,iceland
VT,india
PK,indonesia
EP,iran
YI,iraq
EI,ireland
EJ,ireland
M,isle_of_man
4X,israel
I,italy
6Y,jamaica
JA,japan
ZJ,jersey
JY,jordan
5Y,kenya
UP,khazakstan
T3,kiribati
P,korea_north
HL,korea-south
9K,kuwait
EX,kyrgyzstan
RDPL,laos
YL,latvia
OD,lebanon
7P,lesotho
A8,liberia
5A,libya
HB,liechtenstein
LY,lithuania
LX,luxembourg
Z3,macedonia
5R,madagascar
7Q,malawi
9M,malaysia
8Q,maldives
TZ,mali
9H,malta
V7,marshall_islands
5T,mauritania
3B,mauritius
XA,mexico
XB,mexico
XC,mexico
V6,micronesia
ER,moldova
3A,monaco
JU,mongolia
VP-M,monserrat
4O,montenegro
CN,morocco
C9,mozambique
XY,myanmar
XZ,myanmar
V5,namibia
C2,nauru
9N,nepal
PH,netherlands
ZK,new_zealand
ZL,new_zealand
ZM,new_zealand
YN,nicaragua
5U,niger
5N,nigeria
LN,norway
A4O,oman
AP,pakistan
HP,panama
P2,papua_new_guinea
ZP,paraguay
OB,peru
RP,philippines
SP,poland
CR,portugal
CS,portugal
A7,qatar
YR,romania
RA,russia
RF,russia
9XR,rwanda
5W,samoa
T7,san_marino
S9,sao_tome_principe
HZ,saudi_arabia
6V,senegal
6W,senegal
YU,serbia
S7,seychelles
9L,sierra_leone
9V,singapore
OM,slovakia
S5,slovenia
H4,solomon_islands
6O,somalia
ZS,south_africa
ZT,south_africa
ZU,south_africa
Z8,south_sudan
EC,spain
4R,sri_lanka
ST,sudan
PZ,suriname
3D,swaziland
SE,sweden
HB,switzerland
YK,syria
B,taiwan
EY,tajikistan
5H,tanzania
HS,thailand
5V,togo
A3,tonga
9Y,trinidad_and_tobago
TS,tunisia
TC,turkey
EZ,turkmenistan
VQ-T,turks_and_caicos
T2,tuvalu
5X,uganda
UR,ukraine
A6,united_arab_emirates
G,united_kingdom
4U,united_nations
N,united_states
CX,uruguay
UK,uzbekistan
YJ,vanuatu
HV,vatican_city
YV,venezuela
VN,vietnam
7O,yemen
9J,zambia
Z,zimbabwe
